Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,28AC,1,Clg of Letters & Science,mcb cell and developmental biology
1,2017 Spring,1,African American Studies,131,1,Clg of Letters & Science,mcb cell and developmental biology
2,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,mcb cell and developmental biology
3,2017 Spring,1,African American Studies,198,2,Clg of Letters & Science,mcb cell and developmental biology
4,2017 Spring,1,Anthropology,1,1,Clg of Letters & Science,mcb cell and developmental biology
5,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,mcb cell and developmental biology
6,2017 Spring,1,Anthropology,R5B,3,Clg of Letters & Science,mcb cell and developmental biology
7,2017 Spring,2,Anthropology,119,1,Clg of Letters & Science,mcb cell and developmental biology
8,2017 Spring,1,Arabic,1B,3,Clg of Letters & Science,mcb cell and developmental biology
9,2017 Spring,4,Architecture,198,4,Clg of Environmental Design,mcb cell and developmental biology
10,2017 Spring,3,Armenian,126,1,Clg of Letters & Science,mcb cell and developmental biology
11,2017 Spring,1,Art Practice,118,1,Clg of Letters & Science,mcb cell and developmental biology
12,2017 Spring,1,Art Practice,160,1,Clg of Letters & Science,mcb cell and developmental biology
13,2017 Spring,1,Art Practice,198,5,Clg of Letters & Science,mcb cell and developmental biology
14,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,mcb cell and developmental biology
15,2017 Spring,1,Asian American Studies,132AC,1,Clg of Letters & Science,mcb cell and developmental biology
16,2017 Spring,1,Asian American Studies,144,1,Clg of Letters & Science,mcb cell and developmental biology
17,2017 Spring,3,Astronomy,C12,1,Clg of Letters & Science,mcb cell and developmental biology
18,2017 Spring,1,Astronomy,98,2,Clg of Letters & Science,mcb cell and developmental biology
19,2017 Spring,1,Bioengineering,25,1,Clg of Engineering,mcb cell and developmental biology
20,2017 Spring,1,Bioengineering,135,1,Clg of Engineering,mcb cell and developmental biology
21,2017 Spring,2,Biology,1A,1,Clg of Letters & Science,mcb cell and developmental biology
22,2017 Spring,1,Biology,1AL,1,Clg of Letters & Science,mcb cell and developmental biology
23,2017 Spring,7,Biology,1B,1,Clg of Letters & Science,mcb cell and developmental biology
24,2017 Spring,3,Biology,1B,2,Clg of Letters & Science,mcb cell and developmental biology
25,2017 Spring,1,Business Admin-Undergrad,C5,1,Haas School of Business,mcb cell and developmental biology
26,2017 Spring,2,Business Admin-Undergrad,96,1,Haas School of Business,mcb cell and developmental biology
27,2017 Spring,2,Business Admin-Undergrad,96,2,Haas School of Business,mcb cell and developmental biology
28,2017 Spring,1,Business Admin-Undergrad,102A,1,Haas School of Business,mcb cell and developmental biology
29,2017 Spring,1,Business Admin-Undergrad,102B,2,Haas School of Business,mcb cell and developmental biology
30,2017 Spring,1,Business Admin-Undergrad,103,1,Haas School of Business,mcb cell and developmental biology
31,2017 Spring,1,Business Admin-Undergrad,106,1,Haas School of Business,mcb cell and developmental biology
32,2017 Spring,1,Business Admin-Undergrad,107,1,Haas School of Business,mcb cell and developmental biology
33,2017 Spring,1,Business Admin-Undergrad,152,1,Haas School of Business,mcb cell and developmental biology
34,2017 Spring,1,Business Admin-Undergrad,161,1,Haas School of Business,mcb cell and developmental biology
35,2017 Spring,1,Business Admin-Undergrad,191P,1,Haas School of Business,mcb cell and developmental biology
36,2017 Spring,2,Business Admin-Undergrad,196,2,Haas School of Business,mcb cell and developmental biology
37,2017 Spring,1,Business Admin-Undergrad,198,1,Haas School of Business,mcb cell and developmental biology
38,2017 Spring,1,Business Admin-Undergrad,198,9,Haas School of Business,mcb cell and developmental biology
39,2017 Spring,1,Chemical Engineering,198,3,Clg of Chemistry,mcb cell and developmental biology
40,2017 Spring,3,Chemistry,1B,1,Clg of Chemistry,mcb cell and developmental biology
41,2017 Spring,1,Chemistry,3AL,2,Clg of Chemistry,mcb cell and developmental biology
42,2017 Spring,2,Chemistry,3B,1,Clg of Chemistry,mcb cell and developmental biology
43,2017 Spring,2,Chemistry,3B,2,Clg of Chemistry,mcb cell and developmental biology
44,2017 Spring,1,Chemistry,3BL,1,Clg of Chemistry,mcb cell and developmental biology
45,2017 Spring,3,Chemistry,3BL,2,Clg of Chemistry,mcb cell and developmental biology
46,2017 Spring,1,Chemistry,98,3,Clg of Chemistry,mcb cell and developmental biology
47,2017 Spring,1,Chicano Studies,176,1,Clg of Letters & Science,mcb cell and developmental biology
48,2017 Spring,1,Chinese,10Y,1,Clg of Letters & Science,mcb cell and developmental biology
49,2017 Spring,1,Chinese,100XB,1,Clg of Letters & Science,mcb cell and developmental biology
50,2017 Spring,1,City & Regional Planning,114,1,Clg of Environmental Design,mcb cell and developmental biology
51,2017 Spring,1,Classics,10B,1,Clg of Letters & Science,mcb cell and developmental biology
52,2017 Spring,1,Cognitive Science,198,6,Clg of Letters & Science,mcb cell and developmental biology
53,2017 Spring,1,College Writing Programs,10A,2,Clg of Letters & Science,mcb cell and developmental biology
54,2017 Spring,1,College Writing Programs,10A,4,Clg of Letters & Science,mcb cell and developmental biology
55,2017 Spring,1,College Writing Programs,25AC,1,Clg of Letters & Science,mcb cell and developmental biology
56,2017 Spring,2,College Writing Programs,110,1,Clg of Letters & Science,mcb cell and developmental biology
57,2017 Spring,1,College Writing Programs,130,1,Clg of Letters & Science,mcb cell and developmental biology
58,2017 Spring,1,College Writing Programs,150AC,1,Clg of Letters & Science,mcb cell and developmental biology
59,2017 Spring,1,College Writing Programs,151,1,Clg of Letters & Science,mcb cell and developmental biology
60,2017 Spring,1,College Writing Programs,161,1,Clg of Letters & Science,mcb cell and developmental biology
61,2017 Spring,1,Comparative Literature,165,1,Clg of Letters & Science,mcb cell and developmental biology
62,2017 Spring,3,Computer Science,C8,1,Clg of Engineering,mcb cell and developmental biology
63,2017 Spring,3,Computer Science,61A,1,Clg of Engineering,mcb cell and developmental biology
64,2017 Spring,1,Computer Science,61B,1,Clg of Engineering,mcb cell and developmental biology
65,2017 Spring,2,Computer Science,70,1,Clg of Engineering,mcb cell and developmental biology
66,2017 Spring,1,Computer Science,160,3,Clg of Engineering,mcb cell and developmental biology
67,2017 Spring,3,Computer Science,170,1,Clg of Engineering,mcb cell and developmental biology
68,2017 Spring,1,Computer Science,184,1,Clg of Engineering,mcb cell and developmental biology
69,2017 Spring,1,Computer Science,198,67,Clg of Engineering,mcb cell and developmental biology
70,2017 Spring,1,Demography,C175,1,Clg of Letters & Science,mcb cell and developmental biology
71,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,mcb cell and developmental biology
72,2017 Spring,2,East Asian Languages,110,1,Clg of Letters & Science,mcb cell and developmental biology
73,2017 Spring,2,Economics,1,1,Clg of Letters & Science,mcb cell and developmental biology
74,2017 Spring,1,Economics,100A,1,Clg of Letters & Science,mcb cell and developmental biology
75,2017 Spring,1,Economics,100B,1,Clg of Letters & Science,mcb cell and developmental biology
76,2017 Spring,1,Economics,136,1,Clg of Letters & Science,mcb cell and developmental biology
77,2017 Spring,2,Economics,172,1,Clg of Letters & Science,mcb cell and developmental biology
78,2017 Spring,1,Education,40AC,1,Grad School of Education,mcb cell and developmental biology
79,2017 Spring,1,Education,114A,1,Grad School of Education,mcb cell and developmental biology
80,2017 Spring,1,Education,131AC,1,Grad School of Education,mcb cell and developmental biology
81,2017 Spring,2,Education,182AC,1,Grad School of Education,mcb cell and developmental biology
82,2017 Spring,5,Education,183,1,Grad School of Education,mcb cell and developmental biology
83,2017 Spring,3,Education,195B,1,Grad School of Education,mcb cell and developmental biology
84,2017 Spring,1,Education,197,1,Grad School of Education,mcb cell and developmental biology
85,2017 Spring,2,Education,197,12,Grad School of Education,mcb cell and developmental biology
86,2017 Spring,5,Education,197,18,Grad School of Education,mcb cell and developmental biology
87,2017 Spring,3,Education,197,21,Grad School of Education,mcb cell and developmental biology
88,2017 Spring,1,Education,198,11,Grad School of Education,mcb cell and developmental biology
89,2017 Spring,1,Electrical Engineering,16A,1,Clg of Engineering,mcb cell and developmental biology
90,2017 Spring,1,Electrical Engineering,130,1,Clg of Engineering,mcb cell and developmental biology
91,2017 Spring,1,Electrical Engineering,134,1,Clg of Engineering,mcb cell and developmental biology
92,2017 Spring,1,Energy and Resources,98,1,Clg of Natural Resources,mcb cell and developmental biology
93,2017 Spring,1,English,45C,2,Clg of Letters & Science,mcb cell and developmental biology
94,2017 Spring,2,English,80K,1,Clg of Letters & Science,mcb cell and developmental biology
95,2017 Spring,1,English,117S,2,Clg of Letters & Science,mcb cell and developmental biology
96,2017 Spring,2,English,180A,1,Clg of Letters & Science,mcb cell and developmental biology
97,2017 Spring,1,English,198,6,Clg of Letters & Science,mcb cell and developmental biology
98,2017 Spring,2,"Env Sci, Policy, & Mgmt",40,1,Clg of Natural Resources,mcb cell and developmental biology
99,2017 Spring,5,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,mcb cell and developmental biology
100,2017 Spring,1,"Env Sci, Policy, & Mgmt",113,1,Clg of Natural Resources,mcb cell and developmental biology
101,2017 Spring,1,"Env Sci, Policy, & Mgmt",132,1,Clg of Natural Resources,mcb cell and developmental biology
102,2017 Spring,2,"Env Sci, Policy, & Mgmt",144,1,Clg of Natural Resources,mcb cell and developmental biology
103,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,1,Clg of Natural Resources,mcb cell and developmental biology
104,2017 Spring,1,"Env Sci, Policy, & Mgmt",198BC,4,Clg of Natural Resources,mcb cell and developmental biology
105,2017 Spring,2,Environmental Design,100,1,Clg of Environmental Design,mcb cell and developmental biology
106,2017 Spring,1,Ethnic Studies,11AC,1,Clg of Letters & Science,mcb cell and developmental biology
107,2017 Spring,1,Ethnic Studies,100,1,Clg of Letters & Science,mcb cell and developmental biology
108,2017 Spring,1,Ethnic Studies,145,1,Clg of Letters & Science,mcb cell and developmental biology
109,2017 Spring,1,Ethnic Studies,176,1,Clg of Letters & Science,mcb cell and developmental biology
110,2017 Spring,1,Ethnic Studies,181AC,1,Clg of Letters & Science,mcb cell and developmental biology
111,2017 Spring,1,Ethnic Studies,198,4,Clg of Letters & Science,mcb cell and developmental biology
112,2017 Spring,1,Ethnic Studies,198,5,Clg of Letters & Science,mcb cell and developmental biology
113,2017 Spring,1,Ethnic Studies,198,13,Clg of Letters & Science,mcb cell and developmental biology
114,2017 Spring,1,Filipino,1B,1,Clg of Letters & Science,mcb cell and developmental biology
115,2017 Spring,1,Filipino,100B,1,Clg of Letters & Science,mcb cell and developmental biology
116,2017 Spring,1,Film,128,1,Clg of Letters & Science,mcb cell and developmental biology
117,2017 Spring,1,French,2,4,Clg of Letters & Science,mcb cell and developmental biology
118,2017 Spring,1,French,4,1,Clg of Letters & Science,mcb cell and developmental biology
119,2017 Spring,1,French,13,2,Clg of Letters & Science,mcb cell and developmental biology
120,2017 Spring,1,French,117A,1,Clg of Letters & Science,mcb cell and developmental biology
121,2017 Spring,1,French,171B,1,Clg of Letters & Science,mcb cell and developmental biology
122,2017 Spring,4,Gender & Womens Studies,14,1,Clg of Letters & Science,mcb cell and developmental biology
123,2017 Spring,1,Gender & Womens Studies,100AC,1,Clg of Letters & Science,mcb cell and developmental biology
124,2017 Spring,1,Gender & Womens Studies,101,1,Clg of Letters & Science,mcb cell and developmental biology
125,2017 Spring,1,Gender & Womens Studies,134,1,Clg of Letters & Science,mcb cell and developmental biology
126,2017 Spring,3,Gender & Womens Studies,198,2,Clg of Letters & Science,mcb cell and developmental biology
127,2017 Spring,3,Geography,20,1,Clg of Letters & Science,mcb cell and developmental biology
128,2017 Spring,1,Geography,C32,1,Clg of Letters & Science,mcb cell and developmental biology
129,2017 Spring,1,Geography,130,1,Clg of Letters & Science,mcb cell and developmental biology
130,2017 Spring,1,German,1,4,Clg of Letters & Science,mcb cell and developmental biology
131,2017 Spring,1,German,2,5,Clg of Letters & Science,mcb cell and developmental biology
132,2017 Spring,1,Global Poverty & Practice,105,1,Clg of Letters & Science,mcb cell and developmental biology
133,2017 Spring,1,Global Poverty & Practice,105,2,Clg of Letters & Science,mcb cell and developmental biology
134,2017 Spring,1,Global Poverty & Practice,105,3,Clg of Letters & Science,mcb cell and developmental biology
135,2017 Spring,1,Health & Medical Sciences,C133,1,School of Public Health,mcb cell and developmental biology
136,2017 Spring,1,Hindi-Urdu,1B,1,Clg of Letters & Science,mcb cell and developmental biology
137,2017 Spring,1,Hindi-Urdu,103B,1,Clg of Letters & Science,mcb cell and developmental biology
138,2017 Spring,4,History,7B,1,Clg of Letters & Science,mcb cell and developmental biology
139,2017 Spring,1,History,106B,1,Clg of Letters & Science,mcb cell and developmental biology
140,2017 Spring,1,History,114B,1,Clg of Letters & Science,mcb cell and developmental biology
141,2017 Spring,1,History,117A,1,Clg of Letters & Science,mcb cell and developmental biology
