Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Bioengineering,25,1,Clg of Engineering,materials science engineering and nuclear engineering
1,2017 Spring,2,Materials Science & Eng,103,1,Clg of Engineering,materials science engineering and nuclear engineering
2,2017 Spring,1,Materials Science & Eng,104,1,Clg of Engineering,materials science engineering and nuclear engineering
3,2017 Spring,1,Materials Science & Eng,111,1,Clg of Engineering,materials science engineering and nuclear engineering
4,2017 Spring,1,Materials Science & Eng,112,1,Clg of Engineering,materials science engineering and nuclear engineering
5,2017 Spring,2,Nuclear Engineering,104,1,Clg of Engineering,materials science engineering and nuclear engineering
6,2017 Spring,1,Nuclear Engineering,124,1,Clg of Engineering,materials science engineering and nuclear engineering
7,2017 Spring,2,Nuclear Engineering,150,1,Clg of Engineering,materials science engineering and nuclear engineering
8,2017 Spring,2,Nuclear Engineering,170A,1,Clg of Engineering,materials science engineering and nuclear engineering
9,2017 Spring,1,Physics,198BC,4,Clg of Letters & Science,materials science engineering and nuclear engineering
