Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Chinese,1A,2,Clg of Letters & Science,asian studies japan
1,2017 Spring,1,History,117A,1,Clg of Letters & Science,asian studies japan
2,2017 Spring,3,History,119A,1,Clg of Letters & Science,asian studies japan
3,2017 Spring,1,Japanese,100B,1,Clg of Letters & Science,asian studies japan
4,2017 Spring,1,Japanese,C115,1,Clg of Letters & Science,asian studies japan
5,2017 Spring,2,Japanese,161,1,Clg of Letters & Science,asian studies japan
6,2017 Spring,1,Music,80,1,Clg of Letters & Science,asian studies japan
7,2017 Spring,1,Music,140,3,Clg of Letters & Science,asian studies japan
8,2017 Spring,1,Music,146B,1,Clg of Letters & Science,asian studies japan
9,2017 Spring,1,Music,170A,1,Clg of Letters & Science,asian studies japan
10,2017 Spring,1,Nutritional Science & Tox,10,1,Clg of Natural Resources,asian studies japan
11,2017 Spring,1,Physical Education,1,19,Clg of Letters & Science,asian studies japan
12,2017 Spring,1,Physical Education,2,11,Clg of Letters & Science,asian studies japan
13,2017 Spring,1,Physical Education,2,16,Clg of Letters & Science,asian studies japan
14,2017 Spring,1,Political Science,123M,1,Clg of Letters & Science,asian studies japan
15,2017 Spring,1,Political Science,186,1,Clg of Letters & Science,asian studies japan
