Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,planetary science
1,2017 Spring,1,Astronomy,121,1,Clg of Letters & Science,planetary science
2,2017 Spring,1,Business Admin-Undergrad,198,2,Haas School of Business,planetary science
3,2017 Spring,1,Earth & Planetary Science,102,1,Clg of Letters & Science,planetary science
4,2017 Spring,1,Earth & Planetary Science,122,1,Clg of Letters & Science,planetary science
5,2017 Spring,1,Earth & Planetary Science,150,1,Clg of Letters & Science,planetary science
6,2017 Spring,1,Education,W142,1,Grad School of Education,planetary science
7,2017 Spring,1,Physics,198BC,4,Clg of Letters & Science,planetary science
8,2017 Spring,1,UGIS-UG Interdisc Studies,82,3,Clg of Letters & Science,planetary science
9,2017 Spring,1,UGIS-UG Interdisc Studies,120,1,Clg of Letters & Science,planetary science
